,0,1,2,3,4,5,6,7,8,9,10
1996-07-01,1.5056818181818181,2.1742424242424243,3.252840909090909,4.831439393939394,6.009469696969697,7.5085227272727275,9.59564393939394,7.292613636363637,5.517045454545454,2.850852272727273,1.9952651515151516
1996-07-02,1.0986328125,1.7216796875,2.46484375,3.611328125,5.48046875,6.767578125,8.720703125,6.611328125,4.822265625,2.4580078125,1.740234375
1996-07-03,1.2651209677419355,1.815524193548387,2.598790322580645,3.932459677419355,6.123991935483871,7.555443548387097,9.923387096774194,7.526209677419355,5.632560483870968,4.125,2.8256048387096775
1996-07-05,1.5032327586206897,1.8297413793103448,2.6217672413793105,3.8954741379310347,5.931034482758621,10.54094827586207,8.077586206896552,6.081896551724138,4.441271551724138,3.0969827586206895,2.4601293103448274
1996-07-08,,,,,,,,,,,
1996-07-09,1.26,1.7125,2.43625,3.49375,5.4825,9.09875,6.7775,5.01125,3.585,2.54125,1.740625
1996-07-10,1.4114583333333333,2.0807291666666665,3.0169270833333335,4.463541666666667,5.477864583333333,6.817708333333333,9.778645833333334,7.197916666666667,5.373697916666667,3.8216145833333335,2.66796875
1996-07-11,0.05638586956521739,0.5591032608695652,1.8009510869565217,2.5855978260869565,3.9402173913043477,5.9334239130434785,9.029891304347826,6.625,5.247282608695652,3.8043478260869565,2.8260869565217392
1996-07-12,0.08238636363636363,0.23579545454545456,1.6193181818181819,2.465909090909091,3.522727272727273,5.2897727272727275,8.659090909090908,6.261363636363637,4.744318181818182,3.3863636363636362,2.340909090909091
1996-07-15,0.03125,0.8470394736842105,2.182565789473684,4.3980263157894735,6.434210526315789,11.447368421052632,7.3618421052631575,5.634868421052632,3.9654605263157894,3.2771381578947367,2.4004934210526314
1996-07-16,,,,,,,,,,,
1996-07-17,,,,,,,,,,,
1996-07-18,1.525390625,2.521484375,3.576171875,4.517578125,5.396484375,6.568359375,7.62890625,5.509765625,3.869140625,2.66796875,1.759765625
1996-07-19,4.400537634408602,5.662634408602151,7.741263440860215,9.07728494623656,10.28024193548387,11.682795698924732,12.695564516129032,10.120967741935484,8.054435483870968,6.268817204301075,4.838709677419355
1996-07-22,6.892241379310345,7.623563218390805,8.929597701149426,10.280172413793103,11.567528735632184,12.979885057471265,13.857758620689655,11.482758620689655,9.426005747126437,7.337643678160919,5.793103448275862
1996-07-23,4.9375,8.143382352941176,9.121323529411764,10.294117647058824,11.772058823529411,13.433823529411764,15.036764705882353,12.338235294117647,10.040441176470589,8.095588235294118,6.536764705882353
1996-07-24,4.532379518072289,7.323795180722891,8.197289156626505,9.42921686746988,10.731927710843374,12.32078313253012,13.581325301204819,11.137048192771084,8.995481927710843,7.353915662650603,5.615963855421687
1996-07-25,5.900462962962963,6.614969135802469,7.5625,8.616512345679013,9.956018518518519,11.439043209876543,12.084876543209877,9.709104938271604,7.931327160493828,6.027777777777778,4.6782407407407405
1996-07-26,5.198575949367089,5.969145569620253,6.659810126582278,7.885284810126582,9.020569620253164,10.704113924050633,13.136867088607595,10.487341772151899,8.897151898734178,6.617088607594937,5.032436708860759
1996-07-29,5.8561643835616435,6.763698630136986,7.448630136986301,8.513698630136986,10.139554794520548,11.590753424657533,12.922945205479452,10.455479452054794,8.433219178082192,6.530821917808219,5.041095890410959
1996-07-30,6.09330985915493,6.734154929577465,8.044014084507042,9.230633802816902,10.63556338028169,11.838908450704226,13.112676056338028,10.644366197183098,8.459507042253522,6.625880281690141,5.153169014084507
1996-07-31,5.6875,6.500905797101449,7.393115942028985,8.519927536231885,9.92663043478261,11.41213768115942,12.32518115942029,9.918478260869565,7.806159420289855,6.006340579710145,4.510416666666667
1996-08-01,5.455223880597015,6.208022388059701,7.151119402985074,8.201492537313433,9.597014925373134,10.671641791044776,11.92910447761194,9.723880597014926,7.733208955223881,5.6716417910447765,4.28544776119403
1996-08-02,3.8076923076923075,4.740384615384615,5.375,6.163461538461538,6.954326923076923,8.216346153846153,10.100961538461538,7.721153846153846,6.0048076923076925,4.389423076923077,3.2259615384615383
1996-08-05,4.0116525423728815,4.335805084745763,5.258474576271187,6.15042372881356,7.192796610169491,8.341101694915254,10.760593220338983,8.30084745762712,6.304025423728813,4.720338983050848,3.5614406779661016
1996-08-06,3.8711622807017543,4.657894736842105,5.46875,6.378289473684211,7.620614035087719,8.74561403508772,11.609649122807017,9.153508771929825,7.104714912280702,5.4972587719298245,3.968201754385965
1996-08-07,3.460227272727273,3.9943181818181817,4.8522727272727275,5.5227272727272725,6.596590909090909,7.829545454545454,9.727272727272727,7.318181818181818,5.556818181818182,4.107954545454546,2.846590909090909
1996-08-08,3.327240566037736,3.8620283018867925,4.56308962264151,5.514150943396227,6.356132075471698,7.70872641509434,9.224056603773585,7.091981132075472,5.055424528301887,3.6173349056603774,2.5117924528301887
1996-08-09,3.531862745098039,4.332107843137255,5.041666666666667,6.029411764705882,7.276960784313726,8.602941176470589,9.561274509803921,7.501225490196078,5.443627450980392,3.991421568627451,3.075980392156863
1996-08-12,3.2395833333333335,3.857638888888889,4.649305555555555,5.729166666666667,6.694444444444445,8.208333333333334,9.756944444444445,7.475694444444445,5.527777777777778,3.9618055555555554,2.8993055555555554
1996-08-13,3.015988372093023,3.5886627906976742,4.388081395348837,5.247093023255814,6.287790697674419,7.226744186046512,9.591569767441861,7.287790697674419,5.3938953488372094,3.9200581395348837,2.7238372093023258
1996-08-14,3.1928353658536586,3.887957317073171,4.5876524390243905,5.572408536585366,6.740091463414634,8.032774390243903,10.263719512195122,7.773628048780488,5.683689024390244,4.115091463414634,
