0,close,log_return,variance_30,vol_30,ann_vol_30
1996-07-01,675.88,,,,
1996-07-02,673.61,-0.0033642370688262424,,,
1996-07-03,672.4,-0.001797906889162239,,,
1996-07-05,657.44,-0.022499896399360803,,,
1996-07-08,652.54,-0.007481065135191563,,,
1996-07-09,654.75,0.003381043387913064,,,
1996-07-10,656.06,0.0019987647883787955,,,
1996-07-11,645.67,-0.015963710828027874,,,
1996-07-12,646.19,0.0008050408373724914,,,
1996-07-15,629.8,-0.025691269518620483,,,
1996-07-16,628.37,-0.0022731437178693196,,,
1996-07-17,634.07,0.009030193488062343,,,
1996-07-18,643.56,0.01485590434571667,,,
1996-07-19,638.73,-0.007533432909723135,,,
1996-07-22,633.77,-0.007795717280262738,,,
1996-07-23,626.87,-0.010946929980241837,,,
1996-07-24,626.65,-0.0003510115550751143,,,
1996-07-25,631.17,0.007187068827507187,,,
1996-07-26,635.9,0.007466078388323585,,,
1996-07-29,630.91,-0.0078780966497304,,,
1996-07-30,635.26,0.006871142286664157,,,
1996-07-31,639.95,0.00735568439150511,,,
1996-08-01,650.02,0.015613083345288072,,,
1996-08-02,662.49,0.019002331759744945,,,
1996-08-05,660.23,-0.0034172042446195265,,,
1996-08-06,662.38,0.0032511502162955144,,,
1996-08-07,664.16,0.002683674926218482,,,
1996-08-08,662.59,-0.0023666866143949752,,,
1996-08-09,662.1,-0.0007397957595331968,,,
1996-08-12,665.77,0.005527663618807062,,,
1996-08-13,660.2,-0.008401446130514655,0.0001029851303664226,0.010148158964384752,0.02941215896662382
1996-08-14,662.05,0.002798262366673085,0.0001015539994165213,0.010077400429501712,0.029207081249224116
1996-08-15,662.28,0.00034734545364448693,0.0001017169887049492,0.010085484059030047,0.02923050983341846
1996-08-16,665.21,0.00441435303912694,0.00010169066969533426,0.010084179178065722,0.029226727929085868
1996-08-19,666.58,0.0020573821447032,8.556752105326281e-05,0.009250271404302839,0.026809833584851058
1996-08-20,665.69,-0.0013360657109936995,8.349293540036759e-05,0.00913744687537868,0.02648283703388079
1996-08-21,665.07,-0.0009317984382751776,8.336981364016705e-05,0.009130707181821518,0.02646330354618265
1996-08-22,670.68,0.008399824795635438,8.336395796104173e-05,0.009130386517614778,0.026462374173016875
1996-08-23,667.03,-0.0054571006541969365,7.582316711090572e-05,0.008707649918945164,0.02523716710987206
1996-08-26,663.88,-0.004733612162892068,7.727951038856654e-05,0.008790876542675737,0.02547838078183068
1996-08-27,666.4,0.0037886806001148337,5.405872884720812e-05,0.007352464134370743,0.02130946555680241
1996-08-28,664.81,-0.0023888053065958233,5.361423600799798e-05,0.007322174267797645,0.021221677183181895
1996-08-29,657.4,-0.011208624315918077,5.2432511831874425e-05,0.007241029749412332,0.020986498025819963
1996-08-30,651.99,-0.008263436844398418,5.1250946644642136e-05,0.007158976647862607,0.020748685544269882
1996-09-03,654.72,0.004178438937486386,5.1669263950986084e-05,0.007188133551276443,0.020833190278694312
1996-09-04,655.61,0.0013584366333112697,4.951940670716939e-05,0.007037002679207206,0.020395171397667215
1996-09-05,649.44,-0.009455646865930714,4.452885222514888e-05,0.006672994247348703,0.019340174732696978
1996-09-06,655.68,0.009562411959947255,4.8319910604204836e-05,0.006951252448602686,0.020146643618114673
1996-09-09,663.76,0.012247773305494886,4.9451272065550466e-05,0.007032159843572277,0.02038113552652609
1996-09-10,663.81,7.532559491937005e-05,5.216322949417803e-05,0.007222411612071,0.020932537537314857
1996-09-11,667.28,0.005213783982407015,4.926645884075483e-05,0.007019006969704107,0.02034301487642234
1996-09-12,671.15,0.0057829110002886866,4.878298963125325e-05,0.006984482058911258,0.020242952178536788
1996-09-13,680.54,0.013893941738977695,4.826331058452365e-05,0.006947180045494981,0.02013484067257545
1996-09-16,683.98,0.005042076756355675,4.675099188910774e-05,0.006837469699319167,0.019816869880697734
1996-09-17,682.94,-0.0015216694476263115,3.6769012897552824e-05,0.006063745781078955,0.017574404921346376
1996-09-18,681.47,-0.002154778356617157,3.6318490245956745e-05,0.006026482410656879,0.017466405413422554
1996-09-19,683.0,0.002242629946055342,3.6494725999806144e-05,0.006041086491667384,0.017508732061413575
1996-09-20,687.03,0.005883099820405344,3.644993320177185e-05,0.006037378007195827,0.01749798385228663
1996-09-23,686.48,-0.0008008678923297928,3.6828498111181425e-05,0.006068648787924823,0.0175886151852249
1996-09-24,685.61,-0.001268138557372602,3.683654619418301e-05,0.006069311838601063,0.017590536888655143
1996-09-25,685.83,0.0003208306624966261,3.636642336053785e-05,0.006030457972703056,0.017477927686900353
1996-09-26,685.86,4.374166175277149e-05,3.3363342340208176e-05,0.0057761009634707886,0.0167407310371366
1996-09-27,686.19,0.0004810320416360555,3.332710290727807e-05,0.0057729630959567095,0.01673163663307137
1996-09-30,687.31,0.00163087040151741,3.332027787293928e-05,0.005772371945131332,0.016729923315206497
1996-10-01,689.08,0.0025719468692730093,3.297015309995683e-05,0.005741964219668809,0.016641793354072072
1996-10-02,694.01,0.0071289950467262045,3.30118900226995e-05,0.005745597446976207,0.016652323447215282
