,ann_vol_30,vix
1996-07-01,16.1097029309477,13.78
1996-07-02,15.997377239086214,14.19
1996-07-03,16.010209603139867,14.21
1996-07-05,16.00813816882658,16.09
1996-07-08,14.684350617382517,16.42
1996-07-09,14.505247230189713,15.49
1996-07-10,14.494548298350693,15.51
1996-07-11,14.494039259703456,17.809998999999998
1996-07-12,13.822965713604388,17.09
1996-07-15,13.955083882914773,20.110001
1996-07-16,11.671674973840066,20.1
1996-07-17,11.623591301321417,19.219998999999998
1996-07-18,11.49477837177923,17.93
1996-07-19,11.36452311117797,17.26
1996-07-22,11.410808260438213,20.41
1996-07-23,11.1708954386865,21.549999
1996-07-24,10.59304996718958,21.440001000000002
1996-07-25,11.034771167658903,19.389999
1996-07-26,11.163207675448271,17.450001
1996-07-29,11.465222995010985,20.09
1996-07-30,11.142328135479685,20.530001000000002
1996-07-31,11.087521538682944,19.459999
1996-08-01,11.028306428142065,18.76
1996-08-02,10.854146652802859,16.190001000000002
1996-08-05,9.625898010151216,17.360001
1996-08-06,9.56674424346188,16.93
1996-08-07,9.589927503350141,16.24
1996-08-08,9.58404046675853,16.040001
1996-08-09,9.633681292225583,15.77
1996-08-12,9.634733852543162,15.57
1996-08-13,9.573055252559413,16.41
1996-08-14,9.16927601816657,15.96
1996-08-15,9.164294807912977,15.46
1996-08-16,9.163356385070209,14.81
1996-08-19,9.115085617364832,15.27
1996-08-20,9.120853186911997,14.73
1996-08-21,9.2485015275695,14.52
1996-08-22,9.26933904704958,13.71
1996-08-23,9.594000554166627,14.18
1996-08-26,9.376354436897284,15.38
1996-08-27,9.327961072952068,15.11
1996-08-28,9.539628689611312,15.1
1996-08-29,9.564473589356842,16.219998999999998
1996-08-30,9.01414565240561,17.01
1996-09-03,8.490649800171028,18.469998999999998
1996-09-04,8.547892183419352,18.639999
1996-09-05,8.543132145401787,20.51
1996-09-06,7.800295272998305,17.1
1996-09-09,7.585838837527311,16.360001
1996-09-10,7.12303914312016,16.25
1996-09-11,7.3652184642868495,16.059998999999998
1996-09-12,7.312451611228823,15.97
1996-09-13,7.653923149697037,15.2
1996-09-16,6.782989353321928,15.43
1996-09-17,6.8977045743785075,15.74
1996-09-18,7.035155825805699,15.86
1996-09-19,6.997507204220871,16.030001000000002
1996-09-20,7.149692013240987,15.65
1996-09-23,7.060556423098427,16.459999
1996-09-24,7.108696321044729,16.450001
1996-09-25,7.566324290186639,16.219998999999998
1996-09-26,8.435569303458124,16.110001
1996-09-27,8.444987567406633,16.1
1996-09-30,8.4595123152959,16.950001
1996-10-01,8.46060496247266,17.049999
1996-10-02,8.590136720133843,16.780001000000002
1996-10-03,8.451736563014963,16.77
1996-10-04,8.490725830691396,14.8
1996-10-07,7.915993827098363,15.11
1996-10-08,7.941358182716346,15.58
1996-10-09,7.91994253124021,16.09
1996-10-10,7.605308383111228,16.26
1996-10-11,7.5322552918843195,15.07
1996-10-14,7.487514670958453,15.13
1996-10-15,7.8836657406677295,15.83
1996-10-16,7.885086042043713,15.6
1996-10-17,7.955330348196732,15.41
1996-10-18,7.94630199110263,15.08
1996-10-21,7.932406254805518,15.98
1996-10-22,8.720380700495204,16.4
1996-10-23,8.698068161013875,16.450001
1996-10-24,8.730618733566683,16.889999
1996-10-25,8.67963125055318,17.290001
1996-10-28,9.243928632870963,18.34
1996-10-29,9.11129778070622,18.280001000000002
1996-10-30,9.60457412031851,18.48
1996-10-31,10.78226809462078,18.110001
1996-11-01,10.702267750725577,17.889999
1996-11-04,11.17501627394277,18.040001
1996-11-05,11.274290093916642,17.65
1996-11-06,11.098074785042167,16.969998999999998
1996-11-07,11.656524286776623,17.209999
1996-11-08,11.65529999667773,15.78
1996-11-11,11.653917327926225,14.04
1996-11-12,11.731569071413137,15.36
1996-11-13,11.770905522347984,14.89
1996-11-14,11.76749025283668,13.79
1996-11-15,11.744177463880442,14.36
1996-11-18,12.84098205193005,15.12
1996-11-19,12.923845576418799,15.23
1996-11-20,13.464686846921486,15.94
1996-11-21,13.45127820737585,15.77
1996-11-22,13.597114370655655,14.92
1996-11-25,13.545886360402775,15.91
1996-11-26,13.39498681588398,16.969998999999998
1996-11-27,13.505105343766092,16.959999
1996-11-29,13.498668222772967,17.139999
1996-12-02,13.914544286462466,17.93
1996-12-03,13.932127431438845,18.68
1996-12-04,13.533736169626732,17.93
1996-12-05,13.601501253564708,18.139999
1996-12-06,13.585893581232813,18.82
1996-12-09,13.496855672735014,17.75
1996-12-10,13.072279099448064,17.879998999999998
1996-12-11,13.507405595018307,19.68
1996-12-12,13.50374259354653,20.450001
1996-12-13,12.822521882985265,21.09
1996-12-16,12.809608389422856,21.99
1996-12-17,12.488580332286114,20.77
1996-12-18,12.940985268126912,19.42
1996-12-19,12.857530314544604,18.77
1996-12-20,11.863246692182269,18.85
1996-12-23,11.850317334191098,19.5
1996-12-24,12.622810031544358,18.68
1996-12-26,12.568774355597345,18.59
1996-12-27,12.85944529257596,19.129998999999998
1996-12-30,13.000559977299561,19.51
1996-12-31,12.95923130127269,20.92
1997-01-02,12.369628216166527,21.139999
1997-01-03,12.383916688337742,19.129998999999998
1997-01-06,12.064254715415114,19.889999
1997-01-07,12.190010197420738,19.35
1997-01-08,12.301357692302236,20.24
1997-01-09,12.737040032530942,20.91
1997-01-10,12.641310329875571,19.629998999999998
1997-01-13,12.823893081767629,19.84
1997-01-14,12.808307817699017,19.27
1997-01-15,12.774684603359617,19.4
1997-01-16,13.421012420373513,19.610001
1997-01-17,13.532736448576168,18.629998999999998
1997-01-20,13.431788034631046,18.6
